program_name,account_id,account_name,region,incorporated_country,Access,GRI,secondary_expansion,ticker,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
Climate Change,49533,Nippon Paper Industries Co Ltd,Japan,Japan,Public,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",Japan,3863 JP,3863.T,2014,200965024568,,97222000000,1052491000000,226915000000,23183000000,JPY,84100000000,-4643000000,256722000000,1495622000000,1005885000000,252079000000,729697000000,485966000000
Climate Change,49590,Groupe Fnac,France,France,Public,Retailing,France,FNAC FP,FNAC.PA,2014,700561956,,124500000,3895100000,1143900000,41800000,EUR,535600000,4900000,100000,1892600000,1297200000,5000000,500000,595399999
Climate Change,34439,MARTINREA INTERNATIONAL INC.,Canada,Canada,Public,Automobiles & Components,Self selected companies climate change,MRE CN,MRE.TO,2014,882280056,,258261000,3598645000,347892000,71304000,CAD,52401000,0,-213377000,2114895000,1539149000,0,692442000,575746000
Climate Change,49530,China State Construction International Holdings Ltd,China,China,Public,Construction & Engineering,"Emerging Markets,MSCI",3311 HK,3311.HK,2014,43064046933,,4024256000,34439575000,4743092000,3457410000,HKD,7452448000,478761000,6007263000,66579107000,46581445000,6486024000,14823355000,19997662000
Climate Change,49585,ÇIMSA ÇIMENTO SANAYI VE TICARET A.S.,Middle East,Turkey,Public,Construction Materials,Turkey,CIMSA TI,CIMSA.IS,2014,309297572,,313100651,1094321499,331834135,192980659,TRY,49471134,-8136497,193029229,1507726941,337995310,184892732,105675928,1169731631
Climate Change,49607,CNH Industrial NV,United Kingdom,United Kingdom,Public,Electrical Equipment and Machinery,"FTSE All-World,Euro,Italy",CNHI US,CNHI,2014,10921300000,0,2591000000,32555000000,7021000000,710000000,USD,5163000000,0,605000000,51913000000,46936000000,605000000,29594000000,4922000000
Climate Change,49681,RCL Foods Ltd,Africa,South Africa,Public,Food & Beverage Processing,South Africa,RCL SJ,RCL.JO,2014,13533049439,,677500000,19719965000,4811334000,-289039000,ZAR,1047710000,446000000,257832000,19910760000,10474474000,703832000,5016265000,9374589000
Climate Change,49682,Sibanye Gold Ltd,Africa,South Africa,Public,Mining - Other (Precious Metals and Gems),South Africa,SGL SJ,SGL.JO,2014,,,,,,,ZAR,,,,,,,,
Climate Change,49717,Caracal Energy Inc,Canada,Canada,Public,Oil & Gas,"FTSE 600,FTSE 725,FTSE 350,FTSE 250",ACQU CN,ACQU.TO,2014,,,,,,,ZAR,,,,,,,,
Climate Change,49726,Greencoat UK Wind,United Kingdom,United Kingdom,Public,"Electric Utilities & Independent Power Producers & Energy Traders (including fossil, alternative and nuclear energy)","FTSE 600,FTSE 725",UKW LN,UKW.L,2014,402804212,,35685683,37251757,42132255,30446391,GBP,8320384,0,583188538,592917955,106672392,583188538,105000000,486245563
