Account number,Organization,Country,Region,Public,Samples,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Tickers,Authority types,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
44,3i Group,United Kingdom of Great Britain and Northern Ireland,,public," Benchmark, Continuity Climate Change, Euro, FTSE All-World, MSCI ACWI, UK",Asset managers,Financial services,Services,Financial services, III LN, Investor,III.L,2020,11170488504,,1866000000,1987000000,1974000000,1855000000,GBP,216000000,0,9941000000,10334000000,1170000000,9941000000,992000000,9164000000
45,7COMM INFORMATICA LTDA,Brazil,,public,,Software,IT & software development,Services,General,, Supply Chain,unknown,2020,,,,,,,,,,,,,,,
53,Abertis Infraestructuras,Spain,,public," Benchmark, CCGR1800, Continuity Climate Change",Infrastructure upkeep & management,Land & property ownership & development,Infrastructure,General, ABE SM, Investor,ABE.MC,2020,,,,,,,GBP,,,,,,,,
58,ABM INDUSTRIES INC,United States of America,CDP NA,public,,Commercial services,Commercial & consumer services,Services,General, ABM US, Supply Chain,ABM,2020,2542848000,114000,326700000,5987600000,782200000,200000,USD,394200000,0,11100000,3776900000,2276600000,11100000,886100000,1500300000
64,Abbott Laboratories,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General, ABT US," Investor, Supply Chain",ABT,2020,194544038004,109000,7592000000,34608000000,19605000000,4495000000,USD,6838000000,310000000,821000000,72548000000,39545000000,1131000000,19649000000,33003000000
97,Aareal Bank AG,Germany,,public," Continuity Climate Change, DACH",Banks,Financial services,Services,Financial services, ARL GR, Investor,ARL.DE,2020,1165480717,,-35000000,800000000,800000000,-74000000,EUR,4744000000,0,10077000000,45478000000,42511000000,10077000000,29227000000,2967000000
119,Resolute Forest Products Inc.,Canada,,public," CCGR1800, Continuity Climate Change, Environmental",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry, RFP US, Investor,RFP,2020,,7100,306000000,2800000000,790000000,10000000,USD,113000000,0,0,3730000000,2648000000,0,625000000,1082000000
135,ABN AMRO Bank N.V.,Netherlands,,public," Benchmark, Benelux, Continuity Climate Change, Euro, Fixed Income, FTSE All-World, MSCI ACWI",Banks,Financial services,Services,Financial services, ABN NA, Investor,ABN.AS,2020,7538800008,,655000000,7517000000,7517000000,-45000000,EUR,62149000000,0,61103000000,395623000000,75338000000,61103000000,75338000000,20990000000
138,Absa Group Limited,South Africa,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, MSCI ACWI, South Africa",Banks,Financial services,Services,Financial services, ABG SJ, Investor,ABG.JO,2020,99338649540,,14995000000,81521000000,81521000000,6469000000,ZAR,60682000000,0,400899000000,1531120000000,1398817000000,400899000000,170406000000,132303000000
143,ACC,India,,public," Benchmark, CCGR1800, Continuity Climate Change, Emerging Markets, Environmental, India",Cement,Cement & concrete,Materials,Cement, ACC IN, Investor,ACC.BO,2020,303838315659,,25892200000,134868300000,101234000000,14301800000,INR,58493600000,2567500000,5099200000,182002300000,54978600000,7666700000,1024800000,126991300000
149,Acbel Polytech Inc,"Taiwan, Greater China",Partner - BCSD Taiwan,public,,Electronic components,Electrical & electronic equipment,Manufacturing,General, 6282 TT, Supply Chain,6282.TW,2020,14944551716,,2890868000,20983757000,3531723000,1313093000,TWD,4482650000,4729806000,-4099125000,26975898000,16332304000,630681000,7609230000,10643594000
154,ACCIONA S.A.,Spain,,public," Continuity Climate Change, Spain",Transportation infrastructure & other construction,Construction,Infrastructure,General, ANA SM, Investor,ANA.MC,2020,6367178957,,1125815000,6472430000,4449865000,387052000,EUR,2407158000,186583000,1230111000,18267963000,14498138000,1416694000,7352512000,3769825000
156,Accor,France,,public," Benchmark, CCGR1800, Continuity Climate Change, Euro, France, MSCI ACWI",Hotels & lodging,"Bars, hotels & restaurants",Hospitality,Real estate, AC FP," Investor, Supply Chain",AC.PA,2020,7736928748,,-391000000,1621000000,183000000,-2278000000,EUR,2474000000,10000000,1311000000,10553000000,7393000000,1321000000,4858000000,3160000000
165,Accupac,United States of America,,public,,Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General,, Supply Chain,unknown,2020,,,,,,,,,,,,,,,
169,ACERINOX,Spain,,public," Continuity Climate Change, Environmental, Spain",Iron & steel,"Metal smelting, refining & forming",Materials,Steel, ACX SM," Investor, Supply Chain",ACX.MC,2020,2442189443,,392182000,4668488000,1502938000,49049000,EUR,917118000,22661000,-11549000,4733109000,3118129000,11112000,1689357000,1614980000
220,Adecco Group AG,Switzerland,,public," Benchmark, Continuity Climate Change, DACH, MSCI ACWI",Commercial services,Commercial & consumer services,Services,General, ADEN SW," Investor, Supply Chain",ADEN.SW,2020,9532242793,,316000000,19561000000,3789000000,-97000000,EUR,1485000000,5000000,133000000,9792000000,6574000000,109000000,2290000000,3218000000
240,ADVA Optical Networking SE,Germany,,public, Self selected companies climate change,Communications equipment,Electrical & electronic equipment,Manufacturing,General, ADV GR," Investor, Supply Chain",ADV.DE,2020,354080672,,29526000,564958000,196542000,20314000,EUR,63187000,1548000,1046000,499972000,236754000,2594000,90426000,263218000
246,Advantest Corporation,Japan,,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI",Electronic components,Electrical & electronic equipment,Manufacturing,General, 6857 JP," Investor, Supply Chain",6857.T,2020,379219402875,,83249000000,312789000000,168291000000,69787000000,JPY,149164000000,0,10211000000,422641000000,142272000000,10211000000,11850000000,280369000000
248,AECI Ltd Ord,South Africa,,public," Continuity Climate Change, Environmental, South Africa",Specialty chemicals,Chemicals,Materials,Chemicals, AFE SJ," Investor, Supply Chain",AFE.JO,2020,9180046860,,2143000000,24111000000,7960000000,137000000,ZAR,3557000000,357000000,-71000000,23641000000,12826000000,286000000,6038000000,10815000000
252,Aegon,Netherlands,,public," Benchmark, Benelux, Continuity Climate Change, Euro, MSCI ACWI",Insurance,Financial services,Services,Financial services, AGN NA, Investor,AGN.AS,2020,8433720000,,229000000,44332000000,44332000000,-135000000,EUR,8368000000,100631000000,158501000000,443814000000,419153000000,393627000000,11073000000,24661000000
257,Dentsu International,United Kingdom of Great Britain and Northern Ireland,,public, Self selected companies climate change,Marketing,Web & marketing services,Services,General, AGS LN," Investor, Supply Chain",AGS.L,2020,,,,,,,EUR,,,,,,,,
258,"Aeon Co., Ltd.",Japan,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Japan, MSCI ACWI","Supermarkets, food & drugstores",Convenience retail,Retail,General, 8267 JP, Investor,8267.T,2020,2861777165000,,481286000000,8603909000000,3012018000000,-71024000000,JPY,1287564000000,620096000000,830307000000,11481268000000,9725495000000,269706000000,3169404000000,1755773000000
261,"Aeon Mall Co., Ltd.",Japan,,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI",Real estate owners & developers,Land & property ownership & development,Infrastructure,Real estate, 8905 JP, Investor,8905.T,2020,387272303888,,96366000000,280688000000,61762000000,-1864000000,JPY,131442000000,-94424000000,96372000000,1394199000000,1006715000000,1948000000,710435000000,387484000000
276,A.P. Moller - Maersk,Denmark,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, Euro, FTSE All-World, MSCI ACWI, Nordic",Marine freight,Marine transport,Transportation services,Transport services, MAERSKB DC," Investor, Supply Chain",MAERSKB.CO,2020,,,,,,,JPY,,,,,,,,
282,ABB,Switzerland,,public," Benchmark, CCGR1800, Continuity Climate Change, DACH, Euro, FTSE All-World, Global 500, MSCI ACWI, Nordic",Electrical equipment,Electrical & electronic equipment,Manufacturing,Capital goods, ABBN SW," Investor, Supply Chain",ABBN.SW,2020,50828470000,,2469000000,26134000000,7878000000,345000000,USD,3278000000,2108000000,1784000000,41088000000,25089000000,3892000000,7122000000,15999000000
285,3M Company,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Specialty chemicals,Chemicals,Materials,Chemicals, MMM US," Investor, Supply Chain",MMM,2020,84834269999,95000,6383000000,32184000000,15579000000,5449000000,USD,4634000000,404000000,214000000,47344000000,34413000000,618000000,19051000000,12995000000
304,The AES Corporation,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500",Electricity networks,Energy utility networks,Infrastructure,Electric utilities, AES US, Investor,AES,2020,15651000000,0,4249000000,11141000000,2711000000,-931000000,USD,943000000,232000000,1080000000,32963000000,28396000000,1312000000,18699000000,4567000000
313,ACEA SpA,Italy,,public," Continuity Climate Change, Environmental, Italy",CCGT generation,Thermal power generation,Power generation,Electric utilities, ACE IM, Investor,ACE.MI,2020,3623759413,,1105626000,3222424000,1796474000,284948000,EUR,642209000,-549545000,829007000,9673614000,7350356000,279462000,4812422000,2323258000
333,Adobe,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Software,IT & software development,Services,General, ADBE US," Investor, Supply Chain",ADBE,2020,239557480000,22516,5036000000,12868000000,11146000000,5260000000,USD,4478000000,1514000000,0,24284000000,11020000000,1514000000,4708000000,13264000000
334,"Advanced Micro Devices, Inc",United States of America,,public," Benchmark, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Electronic components,Electrical & electronic equipment,Manufacturing,General, AMD US," Investor, Supply Chain",AMD,2020,112895009999,12600,1322000000,9763000000,4347000000,2490000000,USD,1595000000,695000000,63000000,8962000000,3125000000,758000000,531000000,5837000000
336,"ASE Technology Holding Co., Ltd.","Taiwan, Greater China",,public," Asia ex-JICK, Benchmark, Continuity Climate Change, Emerging Markets, MSCI ACWI",Industrial services,Industrial support services,Services,General, 2311 TT," Investor, Supply Chain",2311.TW,2020,,,,,,,USD,,,,,,,,
350,Agnico-Eagle Mines Limited,Canada,,public," Benchmark, Canada, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, MSCI ACWI",Precious metals & minerals mining,Metallic mineral mining,Materials,Metals & mining, AEM CN, Investor,AEM.TO,2020,21732473430,,1408407000,3138113000,1082860000,511607000,USD,402527000,3936000,375103000,9614755000,3931542000,379039000,1685516000,5683213000
351,AGL Energy,Australia,,public," ASX 100, Australia, Benchmark, CCGR1800, Continuity Climate Change, Environmental, MSCI ACWI",Coal generation,Thermal power generation,Power generation,Electric utilities, AGL AU, Investor,AGL.AX,2020,7445444130,,2548000000,12160000000,2263000000,1015000000,AUD,141000000,216000000,848000000,14607000000,6635000000,1064000000,3108000000,7972000000
362,AFLAC Incorporated,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Insurance,Financial services,Services,Financial services, AFL US, Investor,AFL,2020,30637072860,6239,4159000000,22147000000,22147000000,4778000000,USD,5141000000,105882000000,131629000000,165086000000,7899000000,149753000000,7899000000,33559000000
365,Affiliated Managers Group,United States of America,,public," Benchmark, Continuity Climate Change, MSCI ACWI, S&P 500",Asset managers,Financial services,Services,Financial services, AMG US, Investor,AMG,2020,4332420000,3900,726200000,2027500000,1143800000,427000000,USD,1039700000,74900000,2332000000,7888900000,3900100000,2406900000,2312100000,3988800000
391,Agilent Technologies Inc.,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, MSCI ACWI, S&P 500",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General, A US," Investor, Supply Chain",A,2020,36257940000,16400,1228000000,5339000000,2837000000,719000000,USD,1441000000,0,158000000,9627000000,4754000000,158000000,2359000000,4873000000
394,Ajinomoto Co.Inc.,Japan,,public," Benchmark, CCGR1800, Continuity Climate Change, Japan, MSCI ACWI",Other food processing,Food & beverage processing,"Food, beverage & agriculture","Food, beverage & tobacco", 2802 JP," Investor, Supply Chain",2802.T,2020,1282029925000,,168066000000,1071453000000,406219000000,59416000000,JPY,181609000000,12078000000,176912000000,1431289000000,763443000000,165822000000,350424000000,667846000000
399,Aisin Corporation,Japan,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, Japan, MSCI ACWI",Fabricated metal components,Metal products manufacturing,Manufacturing,General, 7259 JP," Investor, Supply Chain",7259.T,2020,834152020000,,433139000000,3525799000000,404533000000,105638000000,JPY,520028000000,65250000000,620710000000,4027103000000,2268495000000,685960000000,976018000000,1758608000000
403,AIXTRON SE,Germany,,public," Continuity Climate Change, DACH",Electronic components,Electrical & electronic equipment,Manufacturing,General, AIXA GR, Investor,AIXA.DE,2020,1561012125,,41348000,269247000,108287000,34879000,EUR,187259000,62422000,-2422000,590426000,94048000,60000000,2979000,496378000
427,Air Canada,Canada,,public," Benchmark, Canada, CCGR1800, Continuity Climate Change, MSCI ACWI",Passenger airlines,Air transport,Transportation services,Transport services, AC CN," Investor, Supply Chain",AC.TO,2020,7627950000,,-1545000000,5833000000,-2313000000,-4647000000,CAD,3658000000,3843000000,570000000,28913000000,27198000000,4413000000,12989000000,1715000000
429,Air France - KLM,France,,public," CCGR1800, Continuity Climate Change, Environmental, Fixed Income, France",Passenger airlines,Air transport,Transportation services,Transport services, AF FP," Investor, Supply Chain",AF.PA,2020,11051855489,,-1557000000,11088000000,1000000,-7025000000,EUR,6423000000,285000000,393000000,30211000000,35629000000,678000000,18754000000,-5418000000
432,Air Liquide,France,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, Euro, France, FTSE All-World, Global 500, MSCI ACWI",Inorganic base chemicals,Chemicals,Materials,Chemicals, AI FP," Investor, Supply Chain",AI.PA,2020,63333238262,,5927500000,20485200000,6909800000,2435100000,EUR,1791400000,-500000,839400000,41977100000,22893200000,839400000,13588300000,19004600000
435,"Air Products & Chemicals, Inc.",United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Inorganic base chemicals,Chemicals,Materials,Chemicals, APD US," Investor, Supply Chain",APD,2020,60545552000,19275,3718100000,8856300000,2998200000,1886700000,USD,5253000000,1104900000,1432200000,25168500000,12725400000,2537100000,7907800000,12443100000
449,AKBANK T.A.Ş.,Turkey,,public," Benchmark, Continuity Climate Change, Emerging Markets, MSCI ACWI, Turkey",Banks,Financial services,Services,Financial services, AKBNK TI, Investor,AKBNK.IS,2020,36034415323,,8970617000,25973025000,25973025000,6259625000,TRY,60575803000,0,81844721000,478316575000,66829804000,81844721000,66829804000,62924057000
453,AK Steel Holding Corporation,United States of America,,public," CCGR1800, Continuity Climate Change",Iron & steel,"Metal smelting, refining & forming",Materials,Steel, AKS US," Investor, Supply Chain",AKS,2020,,,,,,,TRY,,,,,,,,
454,Akamai Technologies Inc,United States of America,,public," Benchmark, Continuity Climate Change, FTSE All-World, MSCI ACWI, S&P 500",Software,IT & software development,Services,General, AKAM US," Investor, Supply Chain",AKAM,2020,17119774390,8368,1206731000,3198149000,2065477000,557054000,USD,352917000,745156000,1398802000,7764130000,3512834000,2143958000,2776912000,4251296000
457,Aker ASA,Norway,,public," Continuity Climate Change, Nordic",Asset managers,Financial services,Services,Financial services, AKER NO, Investor,AKER.OL,2020,41608000000,,2018000000,5949000000,4933000000,-1911000000,NOK,4808000000,-13017000000,35055000000,58322000000,34608000000,22038000000,30932000000,23714000000
520,Alfresa Holdings Corporation,Japan,,public," Benchmark, Continuity Climate Change, Japan, MSCI ACWI",Pharma & health care supplies wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General, 2784 JP, Investor,2784.T,2020,399848408000,,43871000000,2603263000000,175537000000,24501000000,JPY,170277000000,59000000,145233000000,1316658000000,826701000000,127657000000,6172000000,489957000000
524,Algonquin Power & Utilities Corporation,Canada,,public," Canada, Continuity Climate Change, Environmental",Other renewable generation,Renewable power generation,Power generation,Electric utilities, AQN CN, Investor,AQN.TO,2020,12562868347,,739799000,1677058000,1276050000,782463000,USD,101614000,0,2029100000,13223906000,7234541000,2029100000,4538470000,5989365000
528,Alfa Laval Corporate AB,Sweden,,public," Benchmark, Continuity Climate Change, Euro, Latin America, MSCI ACWI, Nordic",Other renewable energy equipment,Renewable energy equipment,Manufacturing,Capital goods, ALFA SS," Investor, Supply Chain",ALFA.ST,2020,94922964084,,7565000000,41468000000,14258000000,3553000000,SEK,5150000000,2611000000,-1036000000,60860000000,31789000000,1575000000,11635000000,29071000000
533,Allergan plc,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",General, AGN US," Investor, Supply Chain",AGN,2020,,,,,,,SEK,,,,,,,,
550,ANA Holdings Inc.,Japan,,public," Benchmark, CCGR1800, Continuity Climate Change, Japan, MSCI ACWI",Passenger airlines,Air transport,Transportation services,Transport services, 9202 JP," Investor, Supply Chain",9202.T,2020,1070966457000,,-243143000000,728683000000,-271317000000,-404624000000,JPY,464739000000,520092000000,197334000000,3207883000000,2195563000000,159276000000,1655452000000,1012320000000
557,Rumo,Brazil,,public," Benchmark, Brazil, CCGR1800, Continuity Climate Change, Emerging Markets",Logistics - transport,Intermodal transport & logistics,Transportation services,Transport services, RUMO3 BZ, Investor,RUMO3.SA,2020,,,,,,,JPY,,,,,,,,
569,Alma Media Corporation,Finland,,public, Self selected companies climate change,Print publishing,Print & publishing services,Services,General, ALMA FH, Investor,ALMA.HE,2020,715738266,,56300000,230200000,197500000,33200000,EUR,48000000,0,10500000,333900000,129300000,10500000,38900000,204600000
573,Alpha Bank,Greece,,public," Benchmark, Continuity Climate Change, Emerging Markets, MSCI ACWI",Banks,Financial services,Services,Financial services, ALPHA GA, Investor,ALPHA.AT,2020,1472997949,,293901000,2574540000,2574540000,103800000,EUR,8999400000,0,11378919000,70056707000,61723514000,11378919000,1953466000,8333193000
582,The Allstate Corporation,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500",Insurance,Financial services,Services,Financial services, ALL US," Investor, Supply Chain",ALL,2020,33253825000,41860,6012000000,44791000000,39059000000,5576000000,USD,377000000,7800000000,86473000000,125987000000,9180000000,94237000000,7825000000,30217000000
586,Alliant Energy Corporation,United States of America,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, MSCI ACWI, S&P 500",CCGT generation,Thermal power generation,Power generation,Electric utilities, LNT US, Investor,LNT,2020,12882500000,0,1402000000,3416000000,1463000000,624000000,USD,54000000,0,485000000,17710000000,11822000000,485000000,7166000000,5888000000
593,Allianz SE,Germany,,public," Benchmark, CCGR1800, Continuity Climate Change, DACH, Euro, FTSE All-World, Global 500, MSCI ACWI",Insurance,Financial services,Services,Financial services, ALV GR," Investor, Supply Chain",ALV.DE,2020,83233219078,,15645000000,112238000000,112238000000,6807000000,EUR,16595000000,623601000000,663059000000,1060012000000,975418000000,1286660000000,35524000000,84594000000
597,Allied Electronics Corporation Ltd (Altron),South Africa,,public, South Africa,Technology hardware wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,General, AEL SJ," Investor, Supply Chain",AEL.JO,2020,406594920814,,1040000000,7399000000,989000000,12154000000,ZAR,1381000000,0,47000000,10385000000,5519000000,47000000,2391000000,4866000000
600,AIB Group Plc,Ireland,,public," Benchmark, Continuity Climate Change, Euro, Fixed Income, Ireland, MSCI ACWI",Banks,Financial services,Services,Financial services, AIBG ID, Investor,AIBG.L,2020,3865848479,,-644000000,2373000000,2373000000,-741000000,EUR,25627000000,0,21081000000,110385000000,96964000000,21081000000,7695000000,13421000000
609,Alumina Limited,Australia,,public," ASX 100, Australia, Benchmark, CCGR1800, Continuity Climate Change, Environmental, MSCI ACWI",Aluminum,"Metal smelting, refining & forming",Materials,Metals & mining, AWC AU, Investor,AWC.AX,2020,5310316533,,-17866640,145257,145257,212947065,USD,13477612,0,2312576945,2328387222,80476900,2312576945,77755459,2247910322
622,Alstom,France,,public," Benchmark, CCGR1800, Continuity Climate Change, Environmental, Euro, France, MSCI ACWI",Railroad rolling stock,Transportation equipment,Manufacturing,Transport OEMS, ALO FP," Investor, Supply Chain",ALO.PA,2020,17301715571,,617000000,8785000000,1385000000,247000000,EUR,1250000000,28000000,1543000000,28566000000,19449000000,1543000000,2928000000,9117000000
625,alstria office REIT-AG,Germany,,public," Continuity Climate Change, DACH",REIT,Financial services,Services,Real estate, AOX GR, Investor,AOX.DE,2020,2574233600,,202562000,215430000,154823000,168489000,EUR,460960000,-39108000,40129000,5090249000,1838007000,1021000,1700851000,3252242000
