Account number,Organization,Country/Area,Request response status,Access type,Samples,Response received date,Activities,Sectors,Industries,Primary activity,Primary sector,Primary industry,Primary questionnaire sector,Primary Ticker,Tickers,Symbol_1,Year,Market_Cap,Employee_Count,ebitda,Revenue,grossProfit,netIncome,reportedCurrency,cashAndCashEquivalents,shortTermInvestments,longTermInvestments,totalAssets,totalLiabilities,totalInvestments,totalDebt,totalEquity
44,3i Group,United Kingdom of Great Britain and Northern Ireland,Submitted,public," Benchmark, Continuity Climate Change, Euro, MSCI ACWI, UK",44771.5453819444, Asset managers, Financial services, Services,Asset managers,Financial services,Services,Financial services,III LN, III LN,III.L,2022,12914389305,,4604000000,4749000000,4705000000,4573000000,GBP,162000000,0,17483000000,17819000000,975000000,17483000000,785000000,16844000000
53,Abertis Infraestructuras,Spain,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change",44771.4993981482," Engineering services, Infrastructure upkeep & management, Transportation infrastructure & other construction, Utility line construction"," Construction, Land & property ownership & development, Specialized professional services"," Infrastructure, Services",Infrastructure upkeep & management,Land & property ownership & development,Infrastructure,General,ABE SM, ABE SM,ABE.MC,2022,,,,,,,GBP,,,,,,,,
58,ABM INDUSTRIES INC,United States of America,Submitted,public,,44771.4296412037, Commercial services, Commercial & consumer services, Services,Commercial services,Commercial & consumer services,Services,General,ABM US, ABM US,ABM,2022,2945046000,127000,423200000,7806600000,977000000,230400000,USD,73000000,0,14500000,4868900000,3151700000,14500000,1402600000,1717200000
64,Abbott Laboratories,United States of America,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, FTSE All-World, Global 500, MSCI ACWI, S&P 500, United States of America",44769.8292013889," Health care facilities, Health care services, Health care supplies, Medical equipment, Other food processing, Pharmaceuticals"," Biotech & pharma, Food & beverage processing, Health care provision, Medical equipment & supplies, Other services"," Biotech, health care & pharma, Food, beverage & agriculture, Services",Medical equipment,Medical equipment & supplies,"Biotech, health care & pharma",General,ABT US, ABT US,ABT,2022,190792515355,115000,10696000000,43653000000,24511000000,6933000000,USD,9882000000,288000000,766000000,74438000000,37533000000,1054000000,17716000000,36905000000
79,A.T. Kearney Holdings Limited,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44824.6821412037, Other professional services, Specialized professional services, Services,Other professional services,Specialized professional services,Services,General,,,unknown,2022,,,,,,,,,,,,,,,
97,Aareal Bank AG,Germany,Submitted,public," Continuity Climate Change, DACH",44774.600474537," Asset managers, Banks, Other financial"," Financial services, Specialized professional services", Services,Banks,Financial services,Services,Financial services,ARL GR, ARL GR,ARL.DE,2022,1978879786,,298000000,1062000000,1062000000,153000000,EUR,5424000000,0,9069000000,47331000000,44073000000,9069000000,26855000000,3258000000
119,Resolute Forest Products Inc.,Canada,Submitted,public," Climate High Impact Sample, Continuity Climate Change, Environmental",44774.0015162037," Logging, Pulp & paper mills"," Logging & rubber tapping, Wood & paper materials"," Food, beverage & agriculture, Materials",Pulp & paper mills,Wood & paper materials,Materials,Paper & forestry,RFP US, RFP US,RFP,2022,,,,,,,EUR,,,,,,,,
123,ACI WORLDWIDE  LTD,United Kingdom of Great Britain and Northern Ireland,Submitted,public,,44771.9200810185," Commercial services, Software"," Commercial & consumer services, IT & software development", Services,Software,IT & software development,Services,General,ACIW US, ACIW US,ACIW,2022,2554771000,3349,398192000,1421901000,725830000,142177000,USD,124981000,0,315718000,3209895000,2016708000,315718000,1123782000,1193187000
134,Aboitiz Equity Ventures,Philippines,Submitted,public," Asia Pacific, Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, MSCI ACWI",44775.2666319444," Banks, Coal generation, Electricity networks, Grain & corn milling, Non-CCGT generation, Real estate owners & developers"," Energy utility networks, Financial services, Food & beverage processing, Land & property ownership & development, Thermal power generation"," Food, beverage & agriculture, Infrastructure, Power generation, Services",Electricity networks,Energy utility networks,Infrastructure,Electric utilities,AEV PM, AEV PM,AEV,2022,,,,,,,USD,,,,,,,,
135,ABN Amro Holding,Netherlands,Submitted,public," Benchmark, Benelux, Continuity Climate Change, Fixed Income, MSCI ACWI",44764.3903125," Asset managers, Banks", Financial services, Services,Banks,Financial services,Services,Financial services,ABN NA, ABN NA,ABN.AS,2022,11604958373,,5060000000,7787000000,7787000000,1867000000,EUR,62836000000,18246000000,37604000000,379581000000,356766000000,55850000000,63962000000,22815000000
143,ACC,India,Submitted,public," Benchmark, Climate High Impact Sample, Continuity Climate Change, Emerging Markets, Environmental, India, MSCI ACWI",44764.2779050926," Cement, Concrete products", Cement & concrete, Materials,Cement,Cement & concrete,Materials,Cement,ACC IN, ACC IN,ACC.BO,2022,458278716940,,12334020000,177836400000,83022200000,4887600000,INR,2566300000,27194700000,3311900000,205437700000,56410100000,30506600000,0,132829900000
